comparison,lwr,upr,p adj
znuB-ttg2C,-2.102839983,2.451402557,1
BAL062_00181-ttg2C,-2.090285583,2.463956957,1
znuC-ttg2C,-2.08079394,2.473448599,1
BAL062_01982-ttg2C,-1.959217295,2.595025245,1
hmrR_2-ttg2C,-1.938592342,2.615650197,1
ytfL-ttg2C,-1.825526414,2.728716126,1
actP_3-ttg2C,-1.7905154,2.76372714,1
BAL062_01495-ttg2C,-1.350822404,3.203420136,0.999780704
znuA-mdtA,-2.275931807,2.278310733,1
yadG-mdtA,-2.249652364,2.304590176,1
zur-mdtA,-2.159064405,2.395178135,1
ttg2B-mdtA,-2.115654442,2.438588098,1
znuB-mdtA,-2.103732051,2.450510489,1
BAL062_00181-mdtA,-2.091177651,2.463064889,1
znuC-mdtA,-2.081686008,2.472556531,1
BAL062_01982-mdtA,-1.960109363,2.594133177,1
hmrR_2-mdtA,-1.93948441,2.614758129,1
ytfL-mdtA,-1.826418482,2.727824058,1
actP_3-mdtA,-1.791407468,2.762835072,1
BAL062_01495-mdtA,-1.351714472,3.202528068,0.999784817
yadG-znuA,-2.250841827,2.303400712,1
zur-znuA,-2.160253868,2.393988672,1
ttg2B-znuA,-2.116843905,2.437398635,1
znuB-znuA,-2.104921514,2.449321025,1
BAL062_00181-znuA,-2.092367114,2.461875425,1
znuC-znuA,-2.082875472,2.471367068,1
BAL062_01982-znuA,-1.961298826,2.592943713,1
hmrR_2-znuA,-1.940673873,2.613568666,1
ytfL-znuA,-1.827607945,2.726634594,1
actP_3-znuA,-1.792596931,2.761645608,1
BAL062_01495-znuA,-1.352903935,3.201338605,0.999790194
zur-yadG,-2.18653331,2.367709229,1
ttg2B-yadG,-2.143123347,2.411119192,1
znuB-yadG,-2.131200957,2.423041583,1
BAL062_00181-yadG,-2.118646557,2.435595983,1
znuC-yadG,-2.109154914,2.445087625,1
BAL062_01982-yadG,-1.987578269,2.566664271,1
hmrR_2-yadG,-1.966953316,2.587289223,1
ytfL-yadG,-1.853887388,2.700355152,1
actP_3-yadG,-1.818876374,2.735366166,1
BAL062_01495-yadG,-1.379183378,3.175059162,0.999882063
ttg2B-zur,-2.233711307,2.320531233,1
znuB-zur,-2.221788916,2.332453623,1
BAL062_00181-zur,-2.209234516,2.345008023,1
znuC-zur,-2.199742873,2.354499666,1
BAL062_01982-zur,-2.078166228,2.476076311,1
hmrR_2-zur,-2.057541275,2.496701264,1
ytfL-zur,-1.944475347,2.609767193,1
actP_3-zur,-1.909464333,2.644778206,1
BAL062_01495-zur,-1.469771337,3.084471203,0.999987648
znuB-ttg2B,-2.265198879,2.28904366,1
BAL062_00181-ttg2B,-2.252644479,2.30159806,1
znuC-ttg2B,-2.243152836,2.311089703,1
BAL062_01982-ttg2B,-2.121576191,2.432666348,1
hmrR_2-ttg2B,-2.100951238,2.453291301,1
ytfL-ttg2B,-1.98788531,2.56635723,1
actP_3-ttg2B,-1.952874296,2.601368243,1
BAL062_01495-ttg2B,-1.5131813,3.04106124,0.999996457
BAL062_00181-znuB,-2.26456687,2.28967567,1
znuC-znuB,-2.255075227,2.299167312,1
BAL062_01982-znuB,-2.133498582,2.420743958,1
hmrR_2-znuB,-2.112873629,2.44136891,1
ytfL-znuB,-1.999807701,2.554434839,1
actP_3-znuB,-1.964796687,2.589445853,1
BAL062_01495-znuB,-1.525103691,3.029138849,0.999997538
znuC-BAL062_00181,-2.267629627,2.286612912,1
BAL062_01982-BAL062_00181,-2.146052982,2.408189558,1
